# time,smoothGCAMP,smoothISOS,smoothdFF
7.100301169993976202e+01,6.908590698242187500e+01,7.221639251708984375e+01,-1.185084700736392715e+00
7.200276335994473698e+01,6.925410842895507812e+01,7.212048339843750000e+01,-8.938613403499292565e-01
7.300251501994969772e+01,6.923467254638671875e+01,7.212614059448242188e+01,-9.246627623524981132e-01
7.400226667995467267e+01,6.933977127075195312e+01,7.213752746582031250e+01,-7.802879349229484562e-01
7.500201833995963341e+01,6.942119598388671875e+01,7.221212387084960938e+01,-7.032560773468045090e-01
7.600176999996459415e+01,6.939151000976562500e+01,7.218481445312500000e+01,-7.312736705406251980e-01
7.700152165996956910e+01,6.922801589965820312e+01,7.206276702880859375e+01,-9.007124247668838457e-01
7.800127331997452984e+01,6.923421478271484375e+01,7.199576568603515625e+01,-8.564186317714187480e-01
7.900102497997950479e+01,6.933808517456054688e+01,7.191505050659179688e+01,-6.649083055900923966e-01
8.000077663998446553e+01,6.927582550048828125e+01,7.188347625732421875e+01,-7.373778390261335192e-01
8.100052829998944048e+01,6.885817337036132812e+01,7.189006805419921875e+01,-1.339286337679456818e+00
8.200027995999440122e+01,6.866971969604492188e+01,7.189871597290039062e+01,-1.613845703366630691e+00
8.300003161999936196e+01,6.871895599365234375e+01,7.180984497070312500e+01,-1.496583659294793422e+00
8.399978328000433692e+01,6.842208099365234375e+01,7.181482315063476562e+01,-1.924738340746188880e+00
8.499953494000929766e+01,6.816634368896484375e+01,7.177309036254882812e+01,-2.269532341007143739e+00
8.599928660001427261e+01,6.841826248168945312e+01,7.158041000366210938e+01,-1.807315700061819852e+00
8.699903826001923335e+01,6.897158432006835938e+01,7.159692382812500000e+01,-1.021935855997082809e+00
8.799878992002420830e+01,6.977744293212890625e+01,7.164841461181640625e+01,1.069626660121203998e-01
8.899854158002916904e+01,7.044685745239257812e+01,7.168583679199218750e+01,1.047137786605137677e+00
8.999829324003412978e+01,6.986531829833984375e+01,7.171510696411132812e+01,1.973235868419532801e-01
9.099804490003910473e+01,6.948561477661132812e+01,7.175251388549804688e+01,-3.671377013657823318e-01
9.199779656004406547e+01,6.964780807495117188e+01,7.171537399291992188e+01,-1.147611139772391070e-01
9.299754822004904042e+01,6.964980316162109375e+01,7.174241638183593750e+01,-1.263277788883270802e-01
9.399729988005400116e+01,6.966979598999023438e+01,7.179287338256835938e+01,-1.245761378124491253e-01
9.499705154005897612e+01,6.940064620971679688e+01,7.173423385620117188e+01,-4.792544542594422974e-01
9.599680320006393686e+01,6.956107711791992188e+01,7.179964828491210938e+01,-2.840379353390324324e-01
9.699655486006889760e+01,6.996951293945312500e+01,7.170999526977539062e+01,3.494945347590063256e-01
9.799630652007387255e+01,6.985345840454101562e+01,7.161810302734375000e+01,2.322550827140309471e-01
9.899605818007883329e+01,6.970119476318359375e+01,7.168072891235351562e+01,-1.969281162474014607e-02
9.999580984008380824e+01,6.934249496459960938e+01,7.164585494995117188e+01,-5.156793184807610952e-01
1.009955615000887690e+02,6.843316650390625000e+01,7.156005477905273438e+01,-1.775237189857146847e+00
1.019953131600937297e+02,6.815691375732421875e+01,7.159194183349609375e+01,-2.188428669228506873e+00
1.029950648200987047e+02,6.821453094482421875e+01,7.181096649169921875e+01,-2.220224268855390815e+00
1.039948164801036654e+02,6.817285156250000000e+01,7.186767959594726562e+01,-2.309549721209000150e+00
1.049945681401086404e+02,6.866952133178710938e+01,7.183974075317382812e+01,-1.583154194723624286e+00
1.059943198001136011e+02,6.902862548828125000e+01,7.182187271118164062e+01,-1.059049921910632408e+00
1.069940714601185761e+02,6.916912841796875000e+01,7.168232727050781250e+01,-7.837430646149950997e-01
1.079938231201235368e+02,6.880009841918945312e+01,7.162115478515625000e+01,-1.280814255490697384e+00
1.089935747801284975e+02,6.835539627075195312e+01,7.166553497314453125e+01,-1.942163302026363558e+00
1.099933264401334725e+02,6.870431137084960938e+01,7.167449569702148438e+01,-1.446353155825845560e+00
1.109930781001384332e+02,6.896514129638671875e+01,7.171834182739257812e+01,-1.095374120393797002e+00
1.119928297601434082e+02,6.890112304687500000e+01,7.175131607055664062e+01,-1.204586807830381634e+00
1.129925814201483689e+02,6.921066284179687500e+01,7.171661376953125000e+01,-7.423492916649835349e-01
1.139923330801533439e+02,6.953428268432617188e+01,7.161684036254882812e+01,-2.250546468613838780e-01
1.149920847401583046e+02,6.923352050781250000e+01,7.149591827392578125e+01,-5.923708963602160038e-01
1.159918364001632654e+02,6.879328155517578125e+01,7.153857421875000000e+01,-1.247008844305651509e+00
1.169915880601682403e+02,6.844298553466796875e+01,7.158178329467773438e+01,-1.772554744473726851e+00
1.179913397201732010e+02,6.851374435424804688e+01,7.153092575073242188e+01,-1.644262990750004816e+00
1.189910913801781760e+02,6.903509140014648438e+01,7.143471145629882812e+01,-8.448227705826671929e-01
1.199908430401831367e+02,6.877635192871093750e+01,7.151531219482421875e+01,-1.259029561107355866e+00
1.209905947001881117e+02,6.850114059448242188e+01,7.156222534179687500e+01,-1.678812361087164140e+00
1.219903463601930724e+02,6.895199966430664062e+01,7.136563873291015625e+01,-9.275559348195309139e-01
1.229900980201980332e+02,6.889849853515625000e+01,7.139081954956054688e+01,-1.017767791352973905e+00
1.239898496802030081e+02,6.837527465820312500e+01,7.135911178588867188e+01,-1.752780895028029917e+00
1.249896013402079689e+02,6.855595016479492188e+01,7.121207809448242188e+01,-1.415589657985271366e+00
1.259893530002129438e+02,6.887242889404296875e+01,7.127614593505859375e+01,-9.944651546645459916e-01
1.269891046602179046e+02,6.840599441528320312e+01,7.129220199584960938e+01,-1.673427843258374015e+00
1.279888563202228795e+02,6.822668838500976562e+01,7.116636276245117188e+01,-1.865042206659605961e+00
1.289886079802278402e+02,6.862837982177734375e+01,7.093653488159179688e+01,-1.165561872496096552e+00
1.299883596402328010e+02,6.895387268066406250e+01,7.083969879150390625e+01,-6.451955234268205164e-01
1.309881113002377617e+02,6.866931915283203125e+01,7.092720031738281250e+01,-1.101651291236975139e+00
1.319878629602427509e+02,6.838500976562500000e+01,7.093463516235351562e+01,-1.515045055845113398e+00
1.329876146202477116e+02,6.824230194091796875e+01,7.087443923950195312e+01,-1.688820060565343839e+00
1.339873662802526724e+02,6.798059844970703125e+01,7.087778472900390625e+01,-2.067593292923694204e+00
1.349871179402576331e+02,6.769650268554687500e+01,7.097250747680664062e+01,-2.526404397284396364e+00
1.359868696002625938e+02,6.739883422851562500e+01,7.082087707519531250e+01,-2.876020329303454304e+00
1.369866212602675830e+02,6.736191177368164062e+01,7.065649032592773438e+01,-2.843498099284963221e+00
1.379863729202725438e+02,6.741850280761718750e+01,7.077069091796875000e+01,-2.821498924074934411e+00
1.389861245802775045e+02,6.727311706542968750e+01,7.091447830200195312e+01,-3.105864786408182532e+00
1.399858762402824652e+02,6.744387435913085938e+01,7.078836441040039062e+01,-2.794151819804204351e+00
1.409856279002874544e+02,6.821847534179687500e+01,7.047199630737304688e+01,-1.510450109566421784e+00
1.419853795602924151e+02,6.860491943359375000e+01,7.030926513671875000e+01,-8.657710796802474684e-01
1.429851312202973759e+02,6.785407638549804688e+01,7.039489746093750000e+01,-1.995912037713400977e+00
1.439848828803023366e+02,6.740215301513671875e+01,7.054590225219726562e+01,-2.727665777936898905e+00
1.449846345403072974e+02,6.812648391723632812e+01,7.063174438476562500e+01,-1.727686064558439316e+00
1.459843862003122865e+02,6.829852294921875000e+01,7.066357803344726562e+01,-1.496368853861484105e+00
1.469841378603172473e+02,6.789880371093750000e+01,7.063199234008789062e+01,-2.056244787749151204e+00
1.479838895203222080e+02,6.782167434692382812e+01,7.062957763671875000e+01,-2.166234241351831180e+00
