# time,smoothGCAMP,smoothISOS,smoothdFF
2.064383958712320832e-02,3.776310348510742188e+01,3.473512649536132812e+01,2.551821758439014687e+01
1.020395499592090083e+00,8.215568161010742188e+01,7.527112197875976562e+01,4.143935830957194533e+00
2.020147159597056596e+00,8.823419189453125000e+01,8.103105545043945312e+01,2.811889952583888963e+00
3.019898819602023554e+00,8.743147659301757812e+01,8.086645889282226562e+01,2.112325383004411083e+00
4.019650479606990068e+00,8.721842956542968750e+01,8.068656539916992188e+01,2.121809241065230722e+00
5.019402139611957026e+00,8.731174850463867188e+01,8.060650634765625000e+01,2.346573743607556217e+00
6.019153799616923983e+00,8.748072814941406250e+01,8.050318527221679688e+01,2.694386193571117083e+00
7.018905459621890941e+00,8.782359695434570312e+01,8.034313201904296875e+01,3.330613116927823025e+00
8.018657119626857011e+00,8.814083480834960938e+01,8.024477767944335938e+01,3.848542449863129988e+00
9.018408779631824856e+00,8.814694595336914062e+01,7.999643707275390625e+01,4.222873738733355253e+00
1.001816043963679093e+01,8.722026443481445312e+01,8.002447509765625000e+01,3.086044874465105892e+00
1.101791209964175877e+01,8.660284042358398438e+01,8.050455474853515625e+01,1.661858584055030175e+00
1.201766375964672484e+01,8.597164154052734375e+01,8.140721511840820312e+01,-3.502955341503247166e-01
1.301741541965169091e+01,8.543605422973632812e+01,8.205561828613281250e+01,-1.859074624664815101e+00
1.401716707965665876e+01,8.621673965454101562e+01,8.167334365844726562e+01,-4.359470538958807317e-01
1.501691873966162483e+01,8.584680557250976562e+01,8.133025741577148438e+01,-3.880205096253882546e-01
1.601667039966659090e+01,8.542514038085937500e+01,8.119023132324218750e+01,-6.830273835479979683e-01
1.701642205967155874e+01,8.682986068725585938e+01,8.001720428466796875e+01,2.635242986021673506e+00
1.801617371967652659e+01,8.780358123779296875e+01,7.883994674682617188e+01,5.554535308280697414e+00
1.901592537968149088e+01,8.758123779296875000e+01,7.903427886962890625e+01,4.991948969959110194e+00
2.001567703968645873e+01,8.670743942260742188e+01,8.039157104492187500e+01,1.947427399497656086e+00
2.101542869969142657e+01,8.622303009033203125e+01,8.091049957275390625e+01,6.386470589931879660e-01
2.201518035969639442e+01,8.645928192138671875e+01,8.019004440307617188e+01,1.946464464087926505e+00
2.301493201970135871e+01,8.653750991821289062e+01,7.991738891601562500e+01,2.435175822482041674e+00
2.401468367970632656e+01,8.636318206787109375e+01,7.963728332519531250e+01,2.638520626211215969e+00
2.501443533971129440e+01,8.599226760864257812e+01,7.914892959594726562e+01,2.916807124003355511e+00
2.601418699971625870e+01,8.587566757202148438e+01,7.914479827880859375e+01,2.783376714781674810e+00
2.701393865972122654e+01,8.574123001098632812e+01,7.931185913085937500e+01,2.376029362134244760e+00
2.801369031972619439e+01,8.519370651245117188e+01,7.934119796752929688e+01,1.679398259431772233e+00
2.901344197973115868e+01,8.486056137084960938e+01,7.956377792358398438e+01,9.589051940944820496e-01
3.001319363973612653e+01,8.515417861938476562e+01,7.969866943359375000e+01,1.112871088957730459e+00
3.101294529974109437e+01,8.529431533813476562e+01,7.981011962890625000e+01,1.118169971793626427e+00
3.201269695974605867e+01,8.495623779296875000e+01,7.968419647216796875e+01,8.987094915115284577e-01
3.301244861975102651e+01,8.418708419799804688e+01,7.973219680786132812e+01,-8.335371601110604101e-02
3.401220027975599436e+01,8.410196685791015625e+01,7.962005615234375000e+01,-2.418363896872028490e-02
3.501195193976096220e+01,8.441748809814453125e+01,7.924914932250976562e+01,8.864079244175584460e-01
3.601170359976593005e+01,8.440664291381835938e+01,7.895477676391601562e+01,1.302493899066974326e+00
3.701145525977089790e+01,8.450743484497070312e+01,7.877963256835937500e+01,1.680776628634250036e+00
3.801120691977585864e+01,8.470296478271484375e+01,7.851182556152343750e+01,2.312943811351245049e+00
3.901095857978082648e+01,8.438313674926757812e+01,7.844239425659179688e+01,2.029637718683778846e+00
4.001071023978579433e+01,8.373526000976562500e+01,7.903233337402343750e+01,3.842286399668816688e-01
4.101046189979076217e+01,8.445462799072265625e+01,7.904001235961914062e+01,1.235407903690779685e+00
4.201021355979573002e+01,8.463295745849609375e+01,7.870986938476562500e+01,1.934817681313377280e+00
4.300996521980069787e+01,8.403285980224609375e+01,7.820034027099609375e+01,1.965381119313337921e+00
4.400971687980566571e+01,8.451430892944335938e+01,7.737694931030273438e+01,3.798063821981450872e+00
