# time,smoothGCAMP,smoothISOS,smoothdFF
1.081343978373120428e-02,3.419786071777343750e+01,3.547652053833007812e+01,-3.273587935187489961e+01
1.010565099788697907e+00,7.475718688964843750e+01,7.743375778198242188e+01,-8.106602015947655948e-01
2.010316759793664865e+00,8.090264892578125000e+01,8.385403823852539062e+01,2.251441651778498976e+00
3.010068419798631822e+00,8.082580184936523438e+01,8.342708206176757812e+01,2.477579336930082921e+00
4.009820079803598780e+00,8.127424621582031250e+01,8.295393371582031250e+01,3.408790152003417617e+00
5.009571739808564850e+00,8.173456954956054688e+01,8.298035049438476562e+01,3.974050738030334262e+00
6.009323399813531807e+00,8.183410644531250000e+01,8.325161743164062500e+01,3.891099619320980363e+00
7.009075059818498765e+00,8.172198867797851562e+01,8.325917816162109375e+01,3.742941327922603367e+00
8.008826719823465723e+00,8.152134323120117188e+01,8.314321899414062500e+01,3.577360273991085915e+00
9.008578379828431792e+00,8.153258895874023438e+01,8.298896408081054688e+01,3.710469464796910533e+00
1.000833003983339964e+01,8.171863174438476562e+01,8.281414413452148438e+01,4.082418067377266979e+00
1.100808169983836571e+01,8.183786773681640625e+01,8.274835205078125000e+01,4.285369863404049795e+00
1.200783335984333355e+01,8.170852279663085938e+01,8.265232849121093750e+01,4.195076694117095606e+00
1.300758501984829962e+01,8.157597732543945312e+01,8.293101119995117188e+01,3.810394742596628692e+00
1.400733667985326569e+01,8.175092315673828125e+01,8.320716476440429688e+01,3.819745596357872586e+00
1.500708833985823354e+01,8.129023361206054688e+01,8.325512695312500000e+01,3.197947280799855019e+00
1.600683999986319961e+01,8.127209091186523438e+01,8.469361114501953125e+01,2.085137407267582788e+00
1.700659165986816745e+01,8.277450561523437500e+01,8.622426986694335938e+01,2.816724706761052133e+00
1.800634331987313530e+01,8.391908645629882812e+01,8.627000045776367188e+01,4.203841761930806165e+00
1.900609497987809959e+01,8.391648864746093750e+01,8.589896392822265625e+01,4.482012590767380011e+00
2.000584663988306744e+01,8.431777191162109375e+01,8.611280441284179688e+01,4.818499148697469536e+00
2.100559829988803529e+01,8.422912216186523438e+01,8.630386734008789062e+01,4.563113877699172427e+00
2.200534995989299958e+01,8.312614440917968750e+01,8.596588516235351562e+01,3.447590923380738470e+00
2.300510161989796742e+01,8.282656097412109375e+01,8.575166702270507812e+01,3.235651351731209324e+00
2.400485327990293527e+01,8.313618850708007812e+01,8.551157760620117188e+01,3.803158997390987839e+00
2.500460493990789956e+01,8.338770675659179688e+01,8.544073104858398438e+01,4.171069753950673586e+00
2.600435659991286741e+01,8.347483825683593750e+01,8.519670867919921875e+01,4.466078260088877094e+00
2.700410825991783526e+01,8.362474060058593750e+01,8.490366744995117188e+01,4.878515716438819538e+00
2.800385991992280310e+01,8.329753875732421875e+01,8.484181594848632812e+01,4.515547072761746605e+00
2.900361157992776739e+01,8.289892196655273438e+01,8.469164657592773438e+01,4.130087274506740513e+00
3.000336323993273524e+01,8.301465988159179688e+01,8.465372085571289062e+01,4.304513760723022386e+00
3.100311489993770309e+01,8.271884155273437500e+01,8.473781204223632812e+01,3.868676571710367273e+00
3.200286655994266738e+01,8.231788635253906250e+01,8.481906890869140625e+01,3.303587815845322684e+00
3.300261821994763523e+01,8.209667587280273438e+01,8.480446624755859375e+01,3.037020907009902349e+00
3.400236987995260307e+01,8.172496414184570312e+01,8.471335983276367188e+01,2.639103708142170213e+00
3.500212153995757092e+01,8.155289840698242188e+01,8.463777923583984375e+01,2.479869777703049394e+00
3.600187319996253876e+01,8.172957611083984375e+01,8.454887771606445312e+01,2.768997281168590785e+00
3.700162485996749950e+01,8.178613662719726562e+01,8.457297134399414062e+01,2.821908083172206982e+00
3.800137651997246735e+01,8.174376296997070312e+01,8.455397033691406250e+01,2.782988685166603915e+00
3.900112817997743520e+01,8.150101852416992188e+01,8.440759277343750000e+01,2.588142949541452076e+00
4.000087983998240304e+01,8.193604660034179688e+01,8.427701568603515625e+01,3.234917212314169177e+00
4.100063149998737089e+01,8.244123840332031250e+01,8.420672607421875000e+01,3.925233496768674613e+00
4.200038315999233873e+01,8.202552413940429688e+01,8.412794876098632812e+01,3.461246122534260561e+00
4.300013481999730658e+01,8.184915161132812500e+01,8.365008544921875000e+01,3.603826672172993018e+00
4.399988648000226732e+01,8.130961990356445312e+01,8.322135925292968750e+01,3.248431681468497256e+00
4.499963814000723517e+01,8.052855682373046875e+01,8.353584671020507812e+01,2.018467735029768395e+00
4.599938980001220301e+01,8.135688400268554688e+01,8.431361389160156250e+01,2.477580709857555075e+00
4.699914146001717086e+01,8.218455505371093750e+01,8.458964157104492188e+01,3.310144644935494984e+00
4.799889312002213870e+01,8.148330307006835938e+01,8.440209579467773438e+01,2.569992635716901397e+00
4.899864478002710655e+01,8.090004348754882812e+01,8.442323684692382812e+01,1.819954217903572591e+00
4.999839644003207439e+01,8.077379226684570312e+01,8.423936843872070312e+01,1.798767622213508499e+00
5.099814810003703514e+01,8.071519088745117188e+01,8.354767608642578125e+01,2.245949859393442161e+00
5.199789976004200298e+01,8.073337936401367188e+01,8.291882705688476562e+01,2.747450409521411174e+00
5.299765142004697083e+01,8.085852432250976562e+01,8.271965408325195312e+01,3.059431606943302739e+00
5.399740308005193867e+01,8.013775253295898438e+01,8.303029632568359375e+01,1.904900771677622506e+00
5.499715474005690652e+01,8.010783004760742188e+01,8.321793746948242188e+01,1.724960903518433453e+00
5.599690640006187436e+01,8.143420410156250000e+01,8.380997467041015625e+01,2.956782998555684827e+00
5.699665806006684221e+01,8.217766189575195312e+01,8.538524627685546875e+01,2.701049282791319062e+00
5.799640972007180295e+01,8.237896347045898438e+01,8.649682617187500000e+01,2.123300707430768153e+00
5.899616138007677080e+01,8.266888427734375000e+01,8.631896972656250000e+01,2.614968219442516784e+00
5.999591304008173864e+01,8.267168045043945312e+01,8.568684005737304688e+01,3.091301092299878039e+00
6.099566470008670649e+01,8.246520233154296875e+01,8.609644699096679688e+01,2.527689739900739418e+00
6.199541636009167433e+01,8.234019470214843750e+01,8.632198715209960938e+01,2.204735713274244446e+00
6.299516802009664218e+01,8.212475204467773438e+01,8.621956634521484375e+01,2.013130131146537494e+00
