# time,smoothGCAMP,smoothISOS,smoothdFF
2.400485327990293527e+01,7.879189300537109375e+01,8.742529678344726562e+01,8.472272663991922137e-01
2.500460493990789956e+01,7.886054229736328125e+01,8.762689208984375000e+01,6.825400453185391791e-01
2.600435659991286741e+01,7.907525634765625000e+01,8.756282424926757812e+01,1.037012348196828748e+00
2.700410825991783526e+01,7.899237442016601562e+01,8.711592483520507812e+01,1.494525085446018808e+00
2.800385991992280310e+01,7.841716384887695312e+01,8.695362091064453125e+01,9.601353886140806537e-01
2.900361157992776739e+01,7.833845520019531250e+01,8.688792419433593750e+01,9.418019802610495539e-01
3.000336323993273524e+01,7.851107788085937500e+01,8.708711242675781250e+01,9.124416530002390502e-01
3.100311489993770309e+01,7.870204544067382812e+01,8.752295303344726562e+01,6.099769368190248731e-01
3.200286655994266738e+01,7.902545928955078125e+01,8.773849105834960938e+01,7.535357923324860208e-01
3.300261821994763523e+01,7.925444412231445312e+01,8.768254089355468750e+01,1.115601046929561857e+00
3.400236987995260307e+01,7.959451293945312500e+01,8.756715393066406250e+01,1.695014003244244449e+00
3.500212153995757092e+01,7.942481994628906250e+01,8.754989624023437500e+01,1.499960495823014384e+00
3.600187319996253876e+01,7.911755752563476562e+01,8.764831924438476562e+01,9.838193022077224015e-01
3.700162485996749950e+01,7.922878265380859375e+01,8.801044082641601562e+01,6.734254591348517449e-01
3.800137651997246735e+01,7.911175918579101562e+01,8.822515869140625000e+01,2.588034963659899823e-01
3.900112817997743520e+01,7.875771713256835938e+01,8.818380355834960938e+01,-1.389967148830242860e-01
4.000087983998240304e+01,7.858932495117187500e+01,8.808959960937500000e+01,-2.366647379975282683e-01
4.100063149998737089e+01,7.839398574829101562e+01,8.796025085449218750e+01,-3.255266285579345165e-01
4.200038315999233873e+01,7.796443176269531250e+01,8.779286575317382812e+01,-6.661672601946088124e-01
4.300013481999730658e+01,7.778770446777343750e+01,8.756067657470703125e+01,-6.054827415335423124e-01
4.399988648000226732e+01,7.786057281494140625e+01,8.750909042358398438e+01,-4.485818797333303021e-01
4.499963814000723517e+01,7.794257736206054688e+01,8.769527435302734375e+01,-5.738273900890220602e-01
4.599938980001220301e+01,7.767703628540039062e+01,8.762377166748046875e+01,-8.246203538088766605e-01
4.699914146001717086e+01,7.708127975463867188e+01,8.721430587768554688e+01,-1.082529424039420762e+00
4.799889312002213870e+01,7.644740295410156250e+01,8.662422561645507812e+01,-1.168420557714409336e+00
4.899864478002710655e+01,7.576411056518554688e+01,8.581857681274414062e+01,-1.049870862824754170e+00
4.999839644003207439e+01,7.554828643798828125e+01,8.571648025512695312e+01,-1.203675684887113739e+00
5.099814810003703514e+01,7.644164657592773438e+01,8.667493438720703125e+01,-1.238803992051141334e+00
5.199789976004200298e+01,7.734747314453125000e+01,8.717378234863281250e+01,-6.907206047792179282e-01
5.299765142004697083e+01,7.734909439086914062e+01,8.684812545776367188e+01,-2.833107477918643258e-01
5.399740308005193867e+01,7.684571838378906250e+01,8.652785491943359375e+01,-5.330027508342174425e-01
5.499715474005690652e+01,7.663866806030273438e+01,8.656810379028320312e+01,-8.512182644466167458e-01
5.599690640006187436e+01,7.733786773681640625e+01,8.727835845947265625e+01,-8.324969616551672891e-01
5.699665806006684221e+01,7.788749313354492188e+01,8.771360778808593750e+01,-6.666786310529821957e-01
5.799640972007180295e+01,7.806749725341796875e+01,8.758046340942382812e+01,-2.724848642522296194e-01
5.899616138007677080e+01,7.795172500610351562e+01,8.740304183959960938e+01,-2.004837477649417943e-01
5.999591304008173864e+01,7.736861801147460938e+01,8.697761154174804688e+01,-4.197423401930154840e-01
6.099566470008670649e+01,7.702288436889648438e+01,8.677483367919921875e+01,-6.125609064753608779e-01
6.199541636009167433e+01,7.733913040161132812e+01,8.726606369018554688e+01,-8.156767696781854760e-01
6.299516802009664218e+01,7.762994766235351562e+01,8.753561401367187500e+01,-7.761683737392371940e-01
6.399491968010160292e+01,7.775695419311523438e+01,8.731267547607421875e+01,-3.377514599063100587e-01
6.499467134010657787e+01,7.806018066406250000e+01,8.722754287719726562e+01,1.571424146812022693e-01
6.599442300011153861e+01,7.768451690673828125e+01,8.704603958129882812e+01,-9.868847647304250514e-02
6.699417466011651356e+01,7.718299102783203125e+01,8.705231475830078125e+01,-7.514305848286156886e-01
6.799392632012147430e+01,7.712066650390625000e+01,8.719086074829101562e+01,-1.003029210934116788e+00
6.899367798012643505e+01,7.657799911499023438e+01,8.670098876953125000e+01,-1.095005130857244158e+00
6.999342964013141000e+01,7.585526657104492188e+01,8.599304580688476562e+01,-1.149788048413342922e+00
7.099318130013637074e+01,7.546576309204101562e+01,8.554549026489257812e+01,-1.096596079080000674e+00
